,ds,yhat,price_pred
395,2022-12-10,-0.0016560982724485571,13.51940631777812
396,2022-12-11,-0.0016393908867251366,13.49724272626682
397,2022-12-12,-0.0016223997292949875,13.475344803321496
398,2022-12-13,-0.001607156635345749,13.453687813507266
399,2022-12-14,-0.0015911839037792397,13.432280522011942
400,2022-12-15,-0.0015735016037554022,13.411144807068464
401,2022-12-16,-0.0015584133493155843,13.390244699971523
402,2022-12-17,-0.0015427419701756657,13.369587007481956
403,2022-12-18,-0.0015260700883485375,13.349184080656265
404,2022-12-19,-0.0015091349539829981,13.329038360352992
405,2022-12-20,-0.0014938257446920646,13.309127099698308
406,2022-12-21,-0.0014778375271648234,13.289458372216568
407,2022-12-22,-0.0014602624541437555,13.270052275119713
408,2022-12-23,-0.0014450950312100723,13.25087578851304
