,ds,yhat,price_pred
1924,2022-12-10,-0.0007561217324524673,0.16795790124164206
1925,2022-12-11,-0.0007575124563476761,0.16783067103930951
1926,2022-12-12,-0.0007564593045588717,0.16770371396661146
1927,2022-12-13,-0.0007676969904036611,0.16757496833011978
1928,2022-12-14,-0.0007711051964286125,0.16744575040124907
1929,2022-12-15,-0.0007742934058470724,0.16731609826087626
1930,2022-12-16,-0.0007812344720885579,0.1671853851571795
1931,2022-12-17,-0.0007820596875964015,0.1670546362070928
1932,2022-12-18,-0.0007839043465759678,0.1669236813516544
1933,2022-12-19,-0.0007832022843109857,0.16679294634311417
1934,2022-12-20,-0.0007951237379678407,0.16666032531215116
1935,2022-12-21,-0.0007989241632724816,0.16652717635120043
1936,2022-12-22,-0.0008024341997994976,0.16639354924970018
1937,2022-12-23,-0.0008097363037756047,0.1662588143521586
