,ds,yhat,price_pred
735,2022-12-10,-0.012773422846900837,2.582171113055781
736,2022-12-11,-0.012785842226801713,2.5491558806016448
737,2022-12-12,-0.012904776219151886,2.5162595944147457
738,2022-12-13,-0.01296777237213618,2.4836293127651716
739,2022-12-14,-0.013078948347364852,2.4511460532695146
740,2022-12-15,-0.0130179087079384,2.4192372577182284
741,2022-12-16,-0.013111010954151802,2.3875186115315925
742,2022-12-17,-0.01315349825880475,2.356114389631948
743,2022-12-18,-0.013164636219722784,2.325097000800389
744,2022-12-19,-0.013283310191954254,2.294212016112375
745,2022-12-20,-0.013343255353531373,2.2635997593462474
746,2022-12-21,-0.01345124083777613,2.233151533822949
747,2022-12-22,-0.013381797333423916,2.203267952582505
748,2022-12-23,-0.013469288421931699,2.1735915010583726
