,ds,yhat,price_pred
519,2022-12-17,-1.9479483931517063e-05,0.19003429373477732
520,2022-12-18,-1.890277717617895e-05,0.190030701558867
521,2022-12-19,-1.8342192881657936e-05,0.19002721597908556
522,2022-12-20,-1.7752109628349034e-05,0.19002384259511512
523,2022-12-21,-1.7175198257000532e-05,0.190020578897945
524,2022-12-22,-1.6607900508615933e-05,0.19001742305507607
525,2022-12-23,-1.603285880971176e-05,0.19001437653256084
526,2022-12-24,-1.5454205330022013e-05,0.19001144001137024
527,2022-12-25,-1.1625080173400333e-05,0.19000923111314624
528,2022-12-26,-1.0899442838866566e-05,0.19000716011839286
529,2022-12-27,-1.3727342259507464e-05,0.19000455182507417
530,2022-12-28,-1.315088652739318e-05,0.19000205309677343
531,2022-12-29,-1.2581745403887591e-05,0.18999966253931513
532,2022-12-30,-1.2006672737743195e-05,0.18999738127554675
