,ds,yhat,price_pred
1411,2022-12-10,0.048027651202022334,3.1440830648149703e-06
1412,2022-12-11,0.021388698593619894,3.2113309098416025e-06
1413,2022-12-12,0.011736242108619685,3.2490198668903976e-06
1414,2022-12-13,0.03053367903065394,3.348224396670247e-06
1415,2022-12-14,0.027879569080495215,3.4415714500342144e-06
1416,2022-12-15,0.02669336968126663,3.5334385890344705e-06
1417,2022-12-16,0.031094216574258052,3.6433080937737493e-06
1418,2022-12-17,0.05385401780916279,3.839514872740108e-06
1419,2022-12-18,0.02846277887759139,3.948798135560133e-06
1420,2022-12-19,0.01994189978264701,4.027544672241376e-06
1421,2022-12-20,0.03972135561794424,4.187524206434632e-06
1422,2022-12-21,0.037868394097825914,4.346099023378084e-06
1423,2022-12-22,0.03727431654649356,4.508096894117886e-06
1424,2022-12-23,0.042034257657451855,4.697591400509996e-06
