Open,High,Low,Close,Volume,Dividends,Stock Splits
5.08588981628418,5.170770168304443,4.965950012207031,5.058549880981445,3071840,0.0,0.0
5.065430164337158,5.065430164337158,4.579959869384766,4.685229778289795,4569260,0.0,0.0
4.687290191650391,4.755819797515869,4.254350185394287,4.327770233154297,3917450,0.0,0.0
4.32919979095459,4.616079807281494,4.202189922332764,4.286439895629883,5490660,0.0,0.0
4.263070106506348,4.3001298904418945,4.154990196228027,4.245920181274414,2931220,0.0,0.0
4.245930194854736,4.416880130767822,4.210130214691162,4.242350101470947,1855960,0.0,0.0
4.239990234375,4.881350040435791,4.188869953155518,4.746570110321045,4661670,0.0,0.0
4.744200229644775,4.745120048522949,4.627689838409424,4.666790008544922,2662290,0.0,0.0
4.66588020324707,4.671319961547852,4.448699951171875,4.514649868011475,2046960,0.0,0.0
4.50993013381958,4.551819801330566,4.388800144195557,4.433589935302734,1548350,0.0,0.0
4.434390068054199,4.4892401695251465,4.3979902267456055,4.421800136566162,889525,0.0,0.0
4.424620151519775,4.457610130310059,4.202779769897461,4.233230113983154,1741170,0.0,0.0
4.2376298904418945,4.330249786376953,4.1981000900268555,4.246789932250977,1712650,0.0,0.0
4.252190113067627,4.549009799957275,4.225930213928223,4.474730014801025,2456420,0.0,0.0
4.4709601402282715,4.503739833831787,4.384860038757324,4.42855978012085,1172180,0.0,0.0
4.430150032043457,4.463479995727539,4.286230087280273,4.322659969329834,1124950,0.0,0.0
4.31935977935791,4.340310096740723,4.1640400886535645,4.175119876861572,1471270,0.0,0.0
4.173130035400391,4.2840399742126465,3.888010025024414,3.938199996948242,6948810,0.0,0.0
3.9420700073242188,4.04341983795166,3.480600118637085,3.6991400718688965,8143680,0.0,0.0
3.703049898147583,3.9148600101470947,3.5722498893737793,3.8223700523376465,9482680,0.0,0.0
3.8133299350738525,3.949860095977783,3.6882100105285645,3.8586299419403076,7096400,0.0,0.0
3.8554699420928955,3.9298899173736572,3.7478299140930176,3.9078900814056396,5850860,0.0,0.0
3.9086201190948486,4.028759956359863,3.8652899265289307,3.9006600379943848,8316140,0.0,0.0
3.898859977722168,3.9158899784088135,3.774250030517578,3.807389974594116,6313690,0.0,0.0
3.795919895172119,3.8389699459075928,3.67792010307312,3.77266001701355,3498570,0.0,0.0
3.7765800952911377,3.8514699935913086,3.696039915084839,3.850330114364624,2712090,0.0,0.0
3.846440076828003,3.895740032196045,3.791179895401001,3.8617799282073975,4200710,0.0,0.0
3.8645200729370117,4.229109764099121,3.8645200729370117,4.0759100914001465,8247860,0.0,0.0
4.076990127563477,4.076990127563477,3.9927499294281006,4.056419849395752,4837180,0.0,0.0
4.057740211486816,4.096799850463867,3.9587600231170654,3.9908900260925293,4204880,0.0,0.0
3.9914400577545166,4.0160298347473145,3.9539101123809814,3.993269920349121,3561280,0.0,0.0
3.9916300773620605,4.0877299308776855,3.954710006713867,4.055759906768799,2386140,0.0,0.0
4.056429862976074,4.061460018157959,3.974440097808838,3.9889400005340576,1576340,0.0,0.0
3.983570098876953,3.983570098876953,3.8774800300598145,3.909830093383789,2252890,0.0,0.0
3.911799907684326,3.969939947128296,3.900360107421875,3.9400100708007812,1948840,0.0,0.0
3.9409499168395996,3.9599599838256836,3.8385798931121826,3.843319892883301,2094200,0.0,0.0
3.8469700813293457,3.8660600185394287,3.726569890975952,3.739650011062622,3191780,0.0,0.0
3.739490032196045,3.7798099517822266,3.7244999408721924,3.747529983520508,3557710,0.0,0.0
3.748729944229126,3.7598400115966797,3.629040002822876,3.6675500869750977,2370430,0.0,0.0
3.668950080871582,3.7673699855804443,3.661530017852783,3.727180004119873,1986590,0.0,0.0
3.72406005859375,3.893320083618164,3.7130699157714844,3.807310104370117,2694530,0.0,0.0
3.812269926071167,3.8965799808502197,3.794680118560791,3.8460700511932373,2222000,0.0,0.0
3.8528800010681152,3.85332989692688,3.720400094985962,3.72694993019104,2551500,0.0,0.0
3.734499931335449,3.8191699981689453,3.7195301055908203,3.785860061645508,2667440,0.0,0.0
3.7846500873565674,3.804539918899536,3.7453200817108154,3.753999948501587,2303900,0.0,0.0
3.756659984588623,3.7571499347686768,3.5590999126434326,3.570590019226074,2476220,0.0,0.0
3.5768799781799316,3.6229100227355957,3.554500102996826,3.585099935531616,2031400,0.0,0.0
3.5859100818634033,3.661750078201294,3.5563900470733643,3.5780599117279053,2034500,0.0,0.0
3.5804200172424316,3.619529962539673,3.547650098800659,3.5917599201202393,2336120,0.0,0.0
3.5903100967407227,3.6710898876190186,3.5903100967407227,3.644850015640259,2855540,0.0,0.0
3.6421399116516113,3.667409896850586,3.6187500953674316,3.64955997467041,2461750,0.0,0.0
3.649669885635376,3.6619598865509033,3.55499005317688,3.5573699474334717,2417010,0.0,0.0
3.556649923324585,3.578749895095825,3.53233003616333,3.556260108947754,1508220,0.0,0.0
3.554840087890625,3.6373000144958496,3.5469400882720947,3.631459951400757,1873830,0.0,0.0
3.632159948348999,3.7310900688171387,3.593559980392456,3.6956300735473633,3545550,0.0,0.0
3.698509931564331,3.737799882888794,3.6743600368499756,3.6758899688720703,2783960,0.0,0.0
3.67972993850708,4.141510009765625,3.67972993850708,4.068610191345215,8733140,0.0,0.0
4.132989883422852,4.350220203399658,4.01938009262085,4.097660064697266,13963000,0.0,0.0
4.0854997634887695,4.09119987487793,3.861639976501465,3.989370107650757,7587850,0.0,0.0
3.992259979248047,4.037660121917725,3.8097500801086426,3.854330062866211,3891770,0.0,0.0
3.8411900997161865,3.9009499549865723,3.8259899616241455,3.8836300373077393,2991050,0.0,0.0
