date,fear_greed
01-22-2021,40
01-23-2021,74
01-24-2021,70
01-25-2021,74
01-26-2021,71
01-27-2021,78
01-28-2021,55
01-29-2021,77
01-30-2021,76
01-31-2021,78
02-01-2021,77
02-02-2021,76
02-03-2021,78
02-04-2021,80
02-05-2021,81
02-06-2021,84
02-07-2021,86
02-08-2021,83
02-09-2021,95
02-10-2021,92
02-11-2021,93
02-12-2021,92
02-13-2021,92
02-14-2021,95
02-15-2021,93
02-16-2021,95
02-17-2021,95
02-18-2021,91
02-19-2021,93
02-20-2021,91
02-21-2021,91
02-22-2021,94
02-23-2021,94
02-24-2021,76
02-25-2021,79
02-26-2021,55
02-27-2021,56
02-28-2021,55
03-01-2021,38
03-02-2021,78
03-03-2021,78
03-04-2021,84
03-05-2021,77
03-06-2021,77
03-07-2021,76
03-08-2021,81
03-09-2021,81
03-10-2021,68
03-11-2021,73
03-12-2021,70
03-13-2021,74
03-14-2021,78
03-15-2021,76
03-16-2021,71
03-17-2021,71
03-18-2021,72
03-19-2021,71
03-20-2021,75
03-21-2021,73
03-22-2021,70
03-23-2021,66
03-24-2021,65
03-25-2021,60
03-26-2021,54
03-27-2021,65
03-28-2021,74
03-29-2021,72
03-30-2021,72
03-31-2021,76
04-01-2021,74
04-02-2021,74
04-03-2021,73
04-04-2021,74
04-05-2021,71
04-06-2021,75
04-07-2021,72
04-08-2021,73
04-09-2021,70
04-10-2021,70
04-11-2021,76
04-12-2021,74
04-13-2021,74
04-14-2021,75
04-15-2021,79
04-16-2021,78
04-17-2021,76
04-18-2021,79
04-19-2021,74
04-20-2021,73
04-21-2021,73
04-22-2021,65
04-23-2021,55
04-24-2021,37
04-25-2021,31
04-26-2021,27
04-27-2021,50
04-28-2021,59
04-29-2021,52
04-30-2021,51
05-01-2021,68
05-02-2021,66
05-03-2021,61
05-04-2021,68
05-05-2021,48
05-06-2021,65
05-07-2021,64
05-08-2021,67
05-09-2021,73
05-10-2021,72
05-11-2021,61
05-12-2021,68
05-13-2021,31
05-14-2021,26
05-15-2021,27
05-16-2021,20
05-17-2021,27
05-18-2021,21
05-19-2021,23
05-20-2021,11
05-21-2021,19
05-22-2021,12
05-23-2021,14
05-24-2021,10
05-25-2021,22
05-26-2021,22
05-27-2021,27
05-28-2021,21
05-29-2021,18
05-30-2021,10
05-31-2021,18
06-01-2021,20
06-02-2021,23
06-03-2021,24
06-04-2021,27
06-05-2021,24
06-06-2021,17
06-07-2021,15
06-08-2021,13
06-09-2021,14
06-10-2021,21
06-11-2021,21
06-12-2021,28
06-13-2021,23
06-14-2021,28
06-15-2021,38
06-16-2021,33
06-17-2021,26
06-18-2021,25
06-19-2021,23
06-20-2021,21
06-21-2021,23
06-22-2021,10
06-23-2021,14
06-24-2021,22
06-25-2021,27
06-26-2021,20
06-27-2021,22
06-28-2021,25
06-29-2021,25
06-30-2021,28
07-01-2021,28
07-02-2021,21
07-03-2021,24
07-04-2021,27
07-05-2021,29
07-06-2021,20
07-07-2021,28
07-08-2021,20
07-09-2021,20
07-10-2021,20
07-11-2021,20
07-12-2021,25
07-13-2021,20
07-14-2021,21
07-15-2021,20
07-16-2021,22
07-17-2021,15
07-18-2021,19
07-19-2021,24
07-20-2021,19
07-21-2021,10
07-22-2021,21
07-23-2021,23
07-24-2021,22
07-25-2021,27
07-26-2021,26
07-27-2021,32
07-28-2021,50
07-29-2021,50
07-30-2021,53
07-31-2021,60
08-01-2021,60
08-02-2021,48
08-03-2021,48
08-04-2021,42
08-05-2021,50
08-06-2021,52
08-07-2021,69
