Tomorrow_predict_percent,date
-5.766990035772324,2023-04-19 21:44:07.698074
-5.766990035772324,2023-04-19 23:09:10.999620
-5.766990035772324,2023-04-19 23:12:44.275418
-5.766990035772324,2023-04-19 23:13:35.067194
-5.957790091633797,2023-04-20 21:29:56.281590
