,ds,yhat,price_pred
781,2022-12-12,-0.014813300024078243,1.601906691037676
782,2022-12-13,-0.014850504175350582,1.5781175690338989
783,2022-12-14,-0.014888327565596866,1.5546220377290987
784,2022-12-15,-0.014953406575780563,1.531375142327267
785,2022-12-16,-0.015000601001231692,1.5084035948340113
786,2022-12-17,-0.015039534964710135,1.4857179062286108
787,2022-12-18,-0.015098686860006531,1.4632855168001604
788,2022-12-19,-0.015172310325014489,1.441084094845169
789,2022-12-20,-0.015206259903845333,1.4191705955556557
790,2022-12-21,-0.015240717223486624,1.3975414178169048
791,2022-12-22,-0.015303012480386785,1.3761548240581953
792,2022-12-23,-0.015347023294997805,1.3550349439158507
793,2022-12-24,-0.01538267522502324,1.3341908814550356
794,2022-12-25,-0.015438478815391307,1.3135930037960037
