,ds,yhat,price_pred
758,2022-12-15,-0.003567128133155448,17113.794905209594
759,2022-12-16,-0.010539232711105023,16933.428638133468
760,2022-12-17,-0.011260439371638805,16742.750791599792
761,2022-12-18,-0.014350349024853088,16502.4864741042
762,2022-12-19,-0.012232875188693077,16300.613616763389
763,2022-12-20,-0.017557817693557052,16014.410414587142
764,2022-12-21,-0.02128719807822594,15673.508487985822
765,2022-12-22,-0.014263218270277631,15449.953815360632
766,2022-12-23,-0.020830187040683176,15128.128387616753
767,2022-12-24,-0.020755804031706248,14814.131919436888
768,2022-12-25,-0.02290786309352352,14474.77181357703
769,2022-12-26,-0.019519637108605197,14192.22952054614
770,2022-12-27,-0.023605930910548318,13857.208731017483
771,2022-12-28,-0.025908694858071065,13498.186538420952
