,ds,yhat,price_pred
468,2022-12-09,-0.00684382473161941,8.228645416553299
469,2022-12-10,-0.006905462121432697,8.22813472927389
470,2022-12-11,-0.006965904557294431,8.22763394260488
471,2022-12-12,-0.007021082938740479,8.227176770463293
472,2022-12-13,-0.007079115597263847,8.226695949640284
473,2022-12-14,-0.007140361385615099,8.226188506915616
474,2022-12-15,-0.007200281498549006,8.225692047874297
475,2022-12-16,-0.007254295987161138,8.22524451899091
476,2022-12-17,-0.007316111698109669,8.224732354258682
477,2022-12-18,-0.007376658988680069,8.224230698831828
478,2022-12-19,-0.007431632663537801,8.223775222755746
479,2022-12-20,-0.007489629525056343,8.22329469852341
480,2022-12-21,-0.007551024901325165,8.222786016410655
481,2022-12-22,-0.0076110165419061475,8.222288964737825
