,ds,yhat,price_pred
1581,2022-12-09,-0.00035257831860429793,121.39786410624107
1582,2022-12-10,-5.814710369718549e-05,121.43362003362176
1583,2022-12-11,0.000217798156714639,121.46713101409115
1584,2022-12-12,-0.002208387690100751,121.17249335151129
1585,2022-12-13,0.0005774517696590249,121.51080759393578
1586,2022-12-14,-0.0009990417103084115,121.31935715141519
1587,2022-12-15,-0.0012996757015637547,121.28284795464785
1588,2022-12-16,-0.0019365060960536563,121.20551083756814
1589,2022-12-17,-0.0017601839339820876,121.22692352108616
1590,2022-12-18,-0.0015915526845687593,121.24740221492996
1591,2022-12-19,-0.0042152466791153635,120.92877902829622
1592,2022-12-20,-0.0013918219015468909,121.27165765732818
1593,2022-12-21,-0.0030738558906945775,121.06739030345138
1594,2022-12-22,-0.0033916343126008746,121.02879907534258
