,ds,yhat,price_pred
403,2022-12-10,25.5835233481505,3.4127662027542596
404,2022-12-11,25.61292473586242,90.82369009499409
405,2022-12-12,25.593842666716085,2415.350924796853
406,2022-12-13,25.590644342269563,64225.737403045
407,2022-12-14,25.60107914308037,1708473.923681097
408,2022-12-15,46.622556902888206,81361896.64760372
409,2022-12-16,25.660033500683454,2169110890.30426
410,2022-12-17,25.6634398620508,57835957777.7471
411,2022-12-18,25.69284124975093,1543806039488.701
412,2022-12-19,25.67375918061878,41179110518906.46
413,2022-12-20,25.67056085614981,1098269973096613.5
414,2022-12-21,25.680995656961265,2.9302936382361708e+16
415,2022-12-22,46.70247341676256,1.3978225438126938e+18
416,2022-12-23,25.739950014532337,3.737770495073786e+19
