,ds,yhat,price_pred
583,2022-12-17,-0.0005682104933808723,0.0033990675687725785
584,2022-12-18,-0.0005943666503088181,0.0033970472763675537
585,2022-12-19,-0.0006199630501482357,0.003394941232576599
586,2022-12-20,-0.0006459741482734458,0.003392748188305447
587,2022-12-21,-0.0006725313366899346,0.0033904664588313136
588,2022-12-22,-0.0006978465307684664,0.0033881004335753312
589,2022-12-23,-0.0007240353205355911,0.0033856473291919006
590,2022-12-24,-0.000749463433116874,0.0033831099103212416
591,2022-12-25,-0.0007756972826413718,0.0033804856411569282
592,2022-12-26,-0.0008012071368078303,0.003377777171935357
593,2022-12-27,-0.0008272506109965498,0.003374982903706063
594,2022-12-28,-0.0008539860216699697,0.0033721007154829227
595,2022-12-29,-0.0008791435452038415,0.0033691361549051287
596,2022-12-30,-0.0009054047830948584,0.00336608572291558
