Date,Actual,Forecast
2017-11-09,-0.17809183680101548,
2017-11-10,-0.17809183680101548,
2017-11-11,0.03267406693070152,
2017-11-12,-0.13572020618210945,
2017-11-13,0.16666670405116357,
2017-11-14,-0.02229560051030477,
2017-11-15,0.13091207172756691,
2017-11-16,0.038088156049049804,
2017-11-17,-0.05539568688767316,
2017-11-18,0.04569687116751542,
2017-11-19,0.0021850130320721917,
2017-11-20,0.013081410351318823,
2017-11-21,-0.0035868278320134728,
2017-11-22,0.3124550399244215,
2017-11-23,0.03730111611192499,
2017-11-24,0.00898995947072212,
2017-11-25,0.08595386280136874,
2017-11-26,-0.022200717100422374,
2017-11-27,-0.018756197133310115,
2017-11-28,0.18863182132004908,
2017-11-29,-0.1197630349685408,
2017-11-30,-0.00048077289027448344,
2017-12-01,0.03318906195456561,
2017-12-02,0.0004655528806287723,
2017-12-03,0.034434556876927536,
2017-12-04,0.10796220078695296,
2017-12-05,0.006496192656352928,
2017-12-06,0.07422347834515364,
2017-12-07,0.02140441904339574,
2017-12-08,0.021691170522681658,
2017-12-09,-0.05829437602140941,
2017-12-10,-0.02674812269721638,
2017-12-11,0.0985472355498287,
2017-12-12,0.18084351267063092,
2017-12-13,0.047518169105515984,
2017-12-14,0.07165559740063854,
2017-12-15,0.014289548911194938,
2017-12-16,0.5770865930087556,
2017-12-17,0.008596015075716057,
2017-12-18,0.0750334110421178,
2017-12-19,-0.11922898128827697,
2017-12-20,0.1756089635115825,
2017-12-21,0.11469745404714593,
2017-12-22,-0.1846464605414615,
2017-12-23,0.19904197151174396,
2017-12-24,0.18225645125946022,
2017-12-25,0.04066652399843207,
2017-12-26,0.05374537467094509,
2017-12-27,-0.05727342071991404,
2017-12-28,-0.04350763055758533,
2017-12-29,0.10664620376297784,
2017-12-30,-0.1630283664149058,
2017-12-31,0.141475833424076,
2018-01-01,-0.007021873000490397,
2018-01-02,0.02649005860986753,
2018-01-03,0.01913615834174265,
2018-01-04,0.03476391272988022,
2018-01-05,0.2616134787216351,
2018-01-06,0.2215829697256253,
2018-01-07,0.14970056128115594,
2018-01-08,-0.11955755636823429,
2018-01-09,-0.10800933687233838,
2018-01-10,-0.02369598354987279,
2018-01-11,-0.1246374349462066,
2018-01-12,0.13837298295661005,
2018-01-13,-0.0025275393217366604,
2018-01-14,-0.10281813930005279,
2018-01-15,-0.15636766327379026,
2018-01-16,-0.30790302377966927,
2018-01-17,0.12107890078540584,
2018-01-18,0.041971802772231115,
2018-01-19,-0.012297688031845166,
2018-01-20,0.07330707187500507,
2018-01-21,-0.15589488710745525,
2018-01-22,-0.05567241528601896,
2018-01-23,-0.009058543387440388,
2018-01-24,0.06144168124315175,
2018-01-25,0.08245090751354289,
2018-01-26,-0.0560845204092596,
2018-01-27,0.018792331857634625,
2018-01-28,0.012477928772960167,
2018-01-29,-0.06671126784944015,
2018-01-30,-0.13535243313195677,
2018-01-31,-0.0023239776689740754,
2018-02-01,-0.16322799186789605,
2018-02-02,-0.11016107399329333,
2018-02-03,0.15396656541438292,
2018-02-04,-0.1481409709235838,
2018-02-05,-0.19686298433297011,
2018-02-06,0.23436174449402958,
2018-02-07,-0.014675538398851273,
2018-02-08,0.06260180583820274,
2018-02-09,0.09505038545048095,
2018-02-10,-0.0021999702349299044,
2018-02-11,-0.006614555662624144,
2018-02-12,0.10411626348348269,
2018-02-13,0.030336231774046096,
2018-02-14,0.193685689208015,
2018-02-15,0.09167902029847297,
2018-02-16,-0.04260239953422462,
2018-02-17,0.0021324824235042783,
2018-02-18,-0.08866504175163159,
2018-02-19,0.04249688393298223,
2018-02-20,0.05928027413730974,
2018-02-21,-0.07231462476424011,
2018-02-22,-0.04892875262071561,
2018-02-23,0.06215049363519354,
2018-02-24,-0.04873641392189987,
2018-02-25,-0.02877925100549039,
2018-02-26,0.03207422073572519,
2018-02-27,-0.0075721563790343005,
2018-02-28,-0.04339532280963032,
2018-03-01,0.03273510535837776,
2018-03-02,-0.11794050189969574,
2018-03-03,-0.03301710213756548,
2018-03-04,0.037917354741746845,
2018-03-05,-0.051617563606310535,
2018-03-06,-0.11651973081244416,
2018-03-07,-0.1271150213638521,
2018-03-08,0.00024856870482969917,
2018-03-09,0.03006205037656673,
2018-03-10,-0.04172689133345475,
2018-03-11,0.05965257895818232,
2018-03-12,-0.04228027589270367,
2018-03-13,-0.01785716348060562,
2018-03-14,-0.11010096971614058,
2018-03-15,0.0034051811424360423,
2018-03-16,-0.007352931493268877,
2018-03-17,-0.060113954349936494,
2018-03-18,-0.03304028478314458,
2018-03-19,0.07836984395092128,
2018-03-20,0.06133727232258801,
2018-03-21,0.0021911333552622203,
2018-03-22,-0.03580208694910714,
2018-03-23,0.009070297627905788,
2018-03-24,0.008426964822429994,
2018-03-25,-0.02367693017409178,
2018-03-26,-0.061626253997313696,
2018-03-27,-0.043782285431406054,
2018-03-28,-0.0012718697936994205,
2018-03-29,-0.09996811087393997,
2018-03-30,-0.022638846576636062,
2018-03-31,0.020267810005818676,
2018-04-01,-0.035473593957735194,
2018-04-02,0.02868706465207782,
2018-04-03,0.06542723963591524,
2018-04-04,-0.07046986394174604,
2018-04-05,-0.02021659302521739,
2018-04-06,-0.01621218507274158,
2018-04-07,0.04943814130343127,
2018-04-08,0.014632434190441579,
2018-04-09,-0.028139258112956367,
2018-04-10,0.10133905002909338,
2018-04-11,0.11600398941511925,
2018-04-12,0.11837456787325173,
2018-04-13,0.05186937011771375,
2018-04-14,0.03879850293681342,
2018-04-15,0.10144582782628064,
2018-04-16,0.00306281038142453,
