,ds,yhat,price_pred
849,2022-12-12,0.0022711098189255817,0.6302922094900089
850,2022-12-13,0.002275045483381102,0.6317261529344194
851,2022-12-14,0.0022782178291731884,0.6331653627191896
852,2022-12-15,0.0022814517008497115,0.6346098989128843
853,2022-12-16,0.002284436843406673,0.6360596251471515
854,2022-12-17,0.002287892044478226,0.6375148609033395
855,2022-12-18,0.0022910364969805338,0.6389754307170366
856,2022-12-19,0.0022942964759353718,0.64044142979594
857,2022-12-20,0.0022984486645266167,0.6419134515449619
858,2022-12-21,0.0023018623850482585,0.6433910479735298
859,2022-12-22,0.0023053657482450278,0.6448742996582554
860,2022-12-23,0.00230863797211144,0.6463630809536852
861,2022-12-24,0.002312399188331591,0.64785773041745
862,2022-12-25,0.0073107539951181,0.6525940589083675
