,ds,yhat,price_pred
1801,2022-12-10,-0.003055586347322093,0.0005194080485155567
1802,2022-12-11,-0.003067967368392414,0.0005178145215718306
1803,2022-12-12,-0.003072663833686469,0.0005162234516188391
1804,2022-12-13,-0.003070211199507848,0.0005146385365962303
1805,2022-12-14,-0.0030751803085589616,0.000513055930302464
1806,2022-12-15,-0.003072794167500699,0.0005114794150322289
1807,2022-12-16,-0.003077471996775389,0.0005099053514555401
1808,2022-12-17,-0.0030748975468246125,0.0005083374447412367
1809,2022-12-18,-0.0030867096008223684,0.0005067683546700963
1810,2022-12-19,-0.0030907841008236342,0.0005052020430966814
1811,2022-12-20,-0.0030876779454676283,0.0005036421418902066
1812,2022-12-21,-0.003092074769919033,0.0005020848427301999
1813,2022-12-22,-0.0030891186086489143,0.0005005338430994015
1814,2022-12-23,-0.0030933388144966565,0.000498985522334573
