,ds,yhat,price_pred
1409,2022-12-10,-0.0014775291970630315,16690.64829180963
1410,2022-12-11,-0.0014816186612615582,16665.91911583193
1411,2022-12-12,-0.001487978307893192,16641.12058970647
1412,2022-12-13,-0.001491531215126207,16616.299838892242
1413,2022-12-14,-0.0014985943657041074,16591.39874557483
1414,2022-12-15,-0.0015013960046774172,16566.488485786213
1415,2022-12-16,-0.0015079212745591774,16541.507525353754
1416,2022-12-17,-0.0015127522586148706,16516.48432248388
1417,2022-12-18,-0.0015168544997933128,16491.431218918555
1418,2022-12-19,-0.0015232694909691237,16466.31032488036
1419,2022-12-20,-0.0015268013174329041,16441.169540583072
1420,2022-12-21,-0.0015339123698327392,16415.950227250254
1421,2022-12-22,-0.0015366509379498628,16390.724641936213
1422,2022-12-23,-0.0015431856495801625,16365.430710882556
