,ds,yhat,price_pred
1597,2022-12-09,-0.3387515683747517,2.5127439285865345e-05
1598,2022-12-10,-0.35910891424238367,2.43538601772495e-05
1599,2022-12-11,-0.36620732366569275,2.408412063114272e-05
1600,2022-12-12,-0.3660898671952347,2.4088583976821914e-05
1601,2022-12-13,-0.37965238775660864,2.3573208218377225e-05
1602,2022-12-14,-0.3653478581725177,2.4116780318432978e-05
1603,2022-12-15,-0.41213672473334906,2.233880346808024e-05
1604,2022-12-16,-0.34295381904586064,2.4967753767454737e-05
1605,2022-12-17,-0.3654035272428347,2.4114664893854875e-05
1606,2022-12-18,-0.374484548929341,2.3769586085092373e-05
1607,2022-12-19,-0.37615574929547624,2.370608047399948e-05
1608,2022-12-20,-0.39123154686160655,2.313320019192779e-05
1609,2022-12-21,-0.3780888874190028,2.3632621228567747e-05
1610,2022-12-22,-0.42562009222913866,2.1826435525994183e-05
