,ds,yhat,price_pred
1321,2022-12-10,0.0044127658048747345,0.9135285000250422
1322,2022-12-11,0.011964351318993764,0.9244582759392551
1323,2022-12-12,-0.0008709806140291061,0.9236530907024333
1324,2022-12-13,0.004477970053958125,0.9277891815828446
1325,2022-12-14,0.005581418548568014,0.9329675613300918
1326,2022-12-15,0.01122799641417323,0.9434429177632461
1327,2022-12-16,0.001709082704247146,0.9450553397364397
1328,2022-12-17,0.005938253484544291,0.9506673179007168
1329,2022-12-18,0.011850434215363888,0.9619331384121956
1330,2022-12-19,-0.0029400749401647754,0.9591049828978359
1331,2022-12-20,0.0009061336662725438,0.9599740602123293
1332,2022-12-21,0.0005690354520274517,0.9605203194856169
1333,2022-12-22,0.005032613390110273,0.9653542469069332
1334,2022-12-23,-0.005756241958408961,0.9597974342861592
