,ds,yhat,price_pred
719,2022-12-15,-0.005210717485084709,0.429365971201461
720,2022-12-16,-0.005223105295189959,0.4271233475237043
721,2022-12-17,-0.005240368883890236,0.42488506362375805
722,2022-12-18,-0.005255203185799847,0.42265220628380373
723,2022-12-19,-0.005269295068303589,0.42042512709762486
724,2022-12-20,-0.005284933388484937,0.4182032083060686
725,2022-12-21,-0.005302614089624916,0.4159856380813785
726,2022-12-22,-0.005316726171300191,0.41377395635250624
727,2022-12-23,-0.005329058069005704,0.4115689309116615
728,2022-12-24,-0.005346364689745614,0.40936853331203904
729,2022-12-25,-0.005357563357862898,0.40717531545810437
730,2022-12-26,-0.005371157391513801,0.4049883127528396
731,2022-12-27,-0.005390911903294684,0.40280505643692505
732,2022-12-28,-0.005408643411698992,0.40062642752222843
